Species,Biome,GrowthForm,Ever_Decid,Pot_osmot,TLP,Mod_elast,Apo_frac,RWC_symp_tlp,RWC_tlp,LMA,Reference
Sabal palmetto,Med/TempDry,W,E,-3.4,-3.81,73.4,0.2,,90,,Holbrook & Sinclair 1992
Salix arctica,Tundra,W,D,-1.2,-1.45,3.8,,,81.9,81,Dawson & Bliss 1989
Salix arctica,Tundra,W,D,-1.31,-1.5,5.88,,,81.6,81,Dawson & Bliss 1989
Salix lasiolepis,Coastal,W,D,-1.96,,,,,,,Whitfield 1932
Salvia apiana,Med/TempDry,W,E,-1.24,,,,,,,Whitfield 1932
Salvia canariensis,Med/TempDry,W,E,-0.92,-1.18,5.49,0.22,,,60.4,Scoffoni et al. 2011
Salvia mellifera,Med/TempDry,W,E,-1.39,,,,,,,Whitfield 1932
Salvia spathacea,Med/TempDry,H,,-1.45,,,,,,,Whitfield 1932
Sambucus velutina,Med/TempDry,W,D,-1.26,,,,,,,Whitfield 1932
Sapindus saponaria,TropicalDry,W,D,-1.58,-2.14,,,,,51.3,Olivares & Medina 1992
Scaevola plumieri,Coastal,W,E,-1.5,-1.61,,,,91.3,,Ripley & Pammenter 2004
Scrophularia californica,Med/TempDry,H,,-1.21,,,,,,,Whitfield 1932
Secale cereale,Crop,H,,-1.31,,,,,,,Morant-Manceau et al. 2004
Shorea guiso,TropicalMoist,W,E,-1.21,-1.38,32.43,0.5,,,,Baltzer et al. 2008
Shorea lepidota,TropicalMoist,W,E,-1.21,-1.34,23.78,0.51,,,,Baltzer et al. 2008
Shorea macroptera,TropicalMoist,W,E,-0.78,-0.93,25.14,0.703,,,,Baltzer et al. 2008
Shorea parvifolia,TropicalMoist,W,E,-0.99,-1.1,17.57,0.252,,,,Baltzer et al. 2008
Simmondsia chinensis,SemiDesert,W,E,-2.42,-3.95,,,73,,195,Nilsen et al. 1984
Solanum douglasii,Coastal,H,,-1.02,,,,,,,Whitfield 1932
Solanum douglasii,Med/TempDry,H,,-1.28,,,,,,,Whitfield 1932
Solanum lycocarpum,TropicalDry,W,E,-1.23,-1.98,14.4,,,87.4,,Wenhui 1998
Stryphnodendron barbadetimao,TropicalDry,W,D,-2.2,-2.55,25.68,,,84.5,,Wenhui 1998
Stryphnodendron obovatum,TropicalDry,W,D,-1.99,-2.5,14.44,,,84.6,,Wenhui 1998
Styrax camporum,TropicalDry,W,E,-2.65,-2.9,29.47,,,94.3,210,Wenhui 1998
Styrax ferrugineus,TropicalDry,W,E,-2.12,-2.49,19.66,,,,176.1,Hao et al. 2008
Styrax pohlii,TropicalDry,W,D,-2.07,-2.46,,,,,122.2,Hao et al. 2008
Sueda depressa,Coastal,H,,-2.25,,,,,,,Whitfield 1932
Symplocos lanceolata,TropicalDry,W,E,-1.29,-1.45,,,,,145.2,Hao et al. 2008
Symplocos mosenii,TropicalDry,W,E,-1.68,-1.95,,,,,122.9,Hao et al. 2008
Tabebuia chrysantha,TropicalDry,W,D,-0.99,-1.49,,,,,44.7,Olivares & Medina 1992
Tasmannia lanceolata,Temperate,W,E,-1.48,-1.79,11.62,,,,212,Blackman et al. 2010
Telopea truncata,Temperate,W,E,-1.82,-2.46,12.7,,,,243.3,Blackman et al. 2010
Ternstroemia brasiliensis,TropicalDry,W,E,-1.55,-1.88,9.27,,,,,Rosado & De Mattos 2010
Thuja plicata,TemperateConifer,W,E,-1.48,-1.94,12.6,0.272,,,,Jackson & Spomer 1979
Thymus vulgaris,Med/TempDry,W,E,-0.88,,6.75,,,,79.4,Kissel et al. 1987
Tibouchina stenocarpa,TropicalDry,W,D,-1.32,-1.69,9.38,,,90,136,Wenhui 1998
Tocoyena formosa,TropicalDry,W,D,-2.38,-2.8,20.83,,,88.8,158,Wenhui 1998
Trichostema lanatum,Med/TempDry,W,E,-1.49,,,,,,,Whitfield 1932
Triticum dicoccum,Crop,H,,-1.12,,,,,,,Morant-Manceau et al. 2004
Umbellularia californica,Med/TempDry,W,E,-2.69,,,,,,131.8,Whitfield 1932
Vatica bella,TropicalMoist,W,E,-1.03,-1.16,9.19,0.321,,,,Baltzer et al. 2008
Vatica odorata,TropicalMoist,W,D,-1,-1.27,20.27,0.779,,,,Baltzer et al. 2008
Venegasia carpesioides,Med/TempDry,H,,-0.99,,,,,,,Whitfield 1932
Viburnum rigidum,Temperate,W,E,-1.86,-2.9,12.79,,76,,142.5,Gonzalez-Rodriguez et al. 1999
Vitis vinifera,Crop,W,D,-1.29,-1.59,7.67,,,,63.1,Alsina et al. 2007
Woodfordia fruticosa,TropicalDry,W,E,-1.7,-2.17,6.55,,,76,49.3,Shrestha et al. 2008
Xanthophyllum affine,TropicalMoist,W,E,-1.59,-1.8,26.76,0.414,,,,Baltzer et al. 2008
Zea mays,Crop,H,,-0.76,-1.13,4.4,,,,,Sobrado 1986
Ziziphus mauritiana,TropicalDry,W,E,-1.52,,6.2,0.077,,,,Clifford et al 1998
