"","Species","Biome","Growth.Form","Ever.Decid","TLP","totRWCtlp","Po","LMA","SWC","LMA_imputed","SWC_imputed","ApoFrac","SWA","LWAtlp","water_loss.m2","CFT.g.m2","water_loss.g","n_vals","nDatasets","Dataset","T.S.L.H","Family","Genus","Species_name","Gymno.Angio"
"105","Drypetes hoaensis","TropicalDry","W","E",1.606450667,NA,-1.001625685,50.260900935,1.550471788,0,1,NA,77.4298596747878,NA,NA,NA,NA,2,1,"Contributed","T","Putranjivaceae","Drypetes","hoaensis","Angiosperm"
"106","Elaeocarpus glabripetalus var. alatus","TropicalDry","W","E",1.680429333,NA,-1.043047244,47.81346432,2.019360259,0,0,NA,96.5526096929225,NA,NA,NA,NA,1,1,"Contributed","T",NA,"Elaeocarpus","alatus","Angiosperm"
"107","Elaphoglossum lingua","TropicalMoist","W",NA,1.464285388,90.19919935,-1.304248179,NA,NA,1,1,NA,NA,NA,NA,23.2808286625525,NA,1,1,"Contributed","L","Dryopteridaceae","Elaphoglossum","lingua","Angiosperm"
"108","Enterolobium cyclocarpum","TropicalDry","W","DD",1.82366666666667,89.4493333333333,-1.52366666666667,69.1209826191576,1.93233333333333,1,0,NA,133.564778747752,118.872522446842,14.6922563009099,9.03766546666667,-170.045144333333,3,1,"Contributed","T","Fabaceae","Enterolobium","cyclocarpum","Angiosperm"
"109","Erigeron pumilus","Grassland","H","A",1.66,86.475,-1.27,96.4729552,3.266666667,0,0,NA,315.144987018824,272.521627524528,42.623359494296,25.6767225869253,-279.218333361825,1,1,"Contributed","H","Asteraceae","Erigeron","pumilus","Angiosperm"
"110","Eriogonum effusum","Grassland","H","A",1.602857143,85.82714286,-1.172857143,98.7459148,2.315714286,0,0,NA,228.667325586499,196.258632205266,32.4086933812332,20.2193274196446,-196.435426561465,1,1,"Contributed","H","Polygonaceae","Eriogonum","effusum","Angiosperm"
"111","Erithalis fruticosa","TropicalDry","W","E",2.5205,82.655,-1.721,144.799999999293,2.58425,1,0,NA,374.199399998174,309.294514068491,64.9048859296832,31.80740004712,-211.01693375,1,1,"Contributed","T","Rubiaceae","Erithalis","fruticosa","Angiosperm"
"112","Eryngium glaziovianum","TropicalDry","H","E",1.91,94.26,-1.21,144.6276026,NA,0,1,NA,NA,NA,NA,NA,NA,1,1,"Contributed","H",NA,"Eryngium","glaziovianum","Angiosperm"
"113","Erythrophleum chlorostachys","Med/TempDry","W","CD",2.25,92.5,-2.09,109.476231762503,0.946981151139878,1,1,NA,103.671927976911,95.8965333786424,7.77539459826831,3.50255488529588,-86.6487753292988,2,1,"mb14",NA,"Fabaceae","Erythrophleum","chlorostachys","Angiosperm"
"114","Eucalyptus camaldulensis","Crop","W","E",1.97,87.4,-1.58,94.17,1.84,0,0,NA,173.2728,151.4404272,21.8323728,11.0824227411167,-158.976,1,1,"Contributed","T","Myrtaceae","Eucalyptus","camaldulensis","Angiosperm"
"115","Eucalyptus dunnii","Crop","W","E",2.23,85.61,-1.7,81.27,1.44,0,0,NA,117.0288,100.18835568,16.84044432,7.55176875336323,-121.8384,1,1,"Contributed","T","Myrtaceae","Eucalyptus","dunnii","Angiosperm"
"116","Eucalyptus grandis","Crop","W","E",2.07,87.13,-1.6,82.7,1.42,0,0,NA,117.434,102.3202442,15.1137558,7.30133130434783,-122.3046,1,1,"Contributed","T","Myrtaceae","Eucalyptus","grandis","Angiosperm"
"117","Eucalyptus miniata","Med/TempDry","W","E",2.03,88,-1.82,160.250365793195,1.09331934753488,1,1,NA,175.204825371241,154.180246326692,21.024579044549,10.341951497608,-95.1187832355346,2,1,"mb14",NA,"Myrtaceae","Eucalyptus","miniata","Angiosperm"
"118","Eucalyptus pellita","Crop","W","E",2.19,86.01,-1.61,105.34,1.67,0,0,NA,175.9178,151.30689978,24.61090022,11.2378539817352,-141.9667,1,1,"Contributed","T","Myrtaceae","Eucalyptus","pellita","Angiosperm"
"119","Eucalyptus pilularis","Crop","W","E",1.51,91.43,-1.05,90.82,1.39,0,0,NA,126.2398,115.42104914,10.81875086,7.16473566887417,-125.6977,1,1,"Contributed","T","Myrtaceae","Eucalyptus","pilularis","Angiosperm"
"120","Eucalyptus rubida","Med/TempDry","W","E",1.887,86.6866666666667,-1.619,119.490233511465,0.743479078387265,1,1,NA,107.768626855912,94.7990560979482,12.9695707579635,5.93472755460087,-64.5142053106516,3,2,"mb12",NA,"Myrtaceae","Eucalyptus","rubida","Angiosperm"
"121","Eucalyptus tereticornes","Crop","W","E",2.01,87.21,-1.59,105.77,1.6,0,0,NA,169.232,147.5872272,21.6447728,10.768543681592,-137.936,1,1,"Contributed","T",NA,"Eucalyptus","tereticornes","Angiosperm"
"122","Eucalyptus tetrodonta","Med/TempDry","W","E",2.095,84.5,-1.88,196.832436348354,1.11263858512869,1,1,NA,219.003363486065,185.057842145725,33.9455213403401,16.2862476652316,-92.9053218582456,2,1,"mb14",NA,"Myrtaceae","Eucalyptus","tetrodonta","Angiosperm"
"123","Eucalyptus urophylla","Crop","W","E",2.31,84.355,-1.8065,71.20066,2.01,0,1,NA,140.097,123.9998547,16.0971453,15.1203387863043,-175.8951,2,1,"Contributed","T","Myrtaceae","Eucalyptus","urophylla","Angiosperm"
"124","Eucalyptus urophylla x Eucalyptus camaldulensis","Crop","W","E",2.77,86.5,-2.426,87.89377,NA,0,1,NA,NA,NA,NA,29.97742592,NA,1,1,"Contributed","T",NA,"Eucalyptus","camaldulensis","Angiosperm"
"125","Eucalyptus urophylla x Eucalyptus grandis","Crop","W","E",2.525,86.155,-2.043,75.932015,1.838295,0,1,NA,139.07872668915,124.072132079391,15.0065946097593,14.2081795505612,-162.15600195,2,1,"Contributed","T","Myrtaceae","Eucalyptus","grandis","Angiosperm"
"126","Eugenia foetida","TropicalDry","W","E",2.005,92.46,-1.43025,NA,2.3815,1,0,NA,NA,NA,NA,17.89994167362,-217.81199,1,1,"Contributed","T","Myrtaceae","Eugenia","foetida","Angiosperm"
"127","Eugenia procera","TropicalDry","W","E",2.97,NA,-2.505333333,NA,NA,1,1,NA,NA,NA,NA,8.38894123896,NA,1,1,"Contributed","T","Myrtaceae","Eugenia","procera","Angiosperm"
"128","Eugenia salamensis","TropicalDry","W","DD",1.2922,83.816,-1.0084,76.1494892160468,5.1526,1,0,NA,392.367858134603,328.867043974099,63.5008141605041,14.414594810848,-426.7177216,1,1,"Contributed","T","Myrtaceae","Eugenia","salamensis","Angiosperm"
"129","Eugenia uniflora","TropicalDry","W","E",2.115378174,85.62929,-1.615689635,111.9573069,1.764771867,0,0,NA,197.579105522205,169.185585247015,28.3935202751901,13.4224322743674,-149.351390116184,1,1,"Contributed","S","Myrtaceae","Eugenia","uniflora","Angiosperm"
"130","Eugenia xerophytica","TropicalDry","W","DD",2.5846,76.93,-1.9688,NA,1.7006,1,0,NA,NA,NA,NA,17.414762259536,-129.126558,1,1,"Contributed","T",NA,"Eugenia","xerophytica","Angiosperm"
"131","Eurya austroyunnanensis","TropicalDry","W","E",1.462373,85.8651,-1.099892528,57.36903015,2.024078336,0,0,NA,116.145352160182,96.176319465913,15.8323073986839,10.4762993539678,-170.378264443696,2,1,"Contributed","T","Pentaphylacaceae","Eurya","austroyunnanensis","Angiosperm"
"132","Exostema caribbeaum","TropicalDry","W","DD",2.79375,72.515,-1.6975,NA,2.65175,1,0,NA,NA,NA,NA,18.92098469054,-189.63990125,1,1,"Contributed","T",NA,"Exostema","caribbeaum","Angiosperm"
"133","Festuca arundinacea","Crop","H","H",2.51,75.8333333333333,-1.70666666666667,80.0627078563711,3.15525987848078,1,1,NA,252.618649861736,191.569142811816,61.0495070499194,24.5150764683307,-236.118614239645,6,1,"mb14",NA,"Poaceae","Festuca","arundinacea","Angiosperm"
"134","Ficus fistulosa","TropicalDry","W","E",1.295768,NA,-0.827542471,55.70685751,2.985514338,0,0,NA,166.313621821028,NA,NA,NA,NA,1,1,"Contributed","T","Moraceae","Ficus","fistulosa","Angiosperm"
"135","Ficus langkokensis","TropicalDry","W","E",1.597992,NA,-0.996831026,38.9964219,1.923920624,0,0,NA,75.0260203556153,NA,NA,NA,NA,1,1,"Contributed","T","Moraceae","Ficus","langkokensis","Angiosperm"
"136","Ficus nitida","TropicalMoist","W","E",1.115068,97.939719,-0.977545,138.6880455,1.681114,0,0,0.8263595,231.883898997337,227.147227364577,4.73667163275999,4.31945975295809,-163.008675491886,2,1,"Contributed","T",NA,"Ficus","nitida","Angiosperm"
"137","Ficus rubiginosa","TropicalDry","W","E",1.216967,97.196428,-1.016566,157.868368,2.310748,0,0,0.819014,364.794015619264,354.566752739687,10.2272628795773,8.4038949943403,-222.285703608144,1,1,"Contributed","T","Moraceae","Ficus","rubiginosa","Angiosperm"
"138","Flaveria robusta","TropicalDry","H","H",0.703607,95.103263,-0.507782,55.400525,7.003443,0,0,0.80639,387.994419007575,368.995352734096,18.999066273479,27.0023838214785,-659.046838534509,1,1,"Contributed","H","Asteraceae","Flaveria","robusta","Angiosperm"
"139","Forsteronia spicata","TropicalDry","W","DD",1.93333333333333,96.9066666666667,-1.68666666666667,65.6142093166667,2.00333333333333,0,0,NA,126.049138329,122.367040183516,3.68209814548374,1.8642496577067,-191.674566666667,3,1,"Contributed","L","Apocynaceae","Forsteronia","spicata","Angiosperm"
"140","Fraxinus pennsylvanica","Temperate","W","CD",2.36,82.2,-1.8,52.7,2.72838787108727,0,1,NA,143.786040806299,118.192125542778,25.5939152635212,10.8448793489497,-221.545095132286,1,1,"mb12",NA,"Oleaceae","Fraxinus","pennsylvanica","Angiosperm"
"141","Gallesia integrifolia","TropicalDry","W","E",1.878696185,88.18214,-1.436551978,47.77556267,4.271002151,0,0,NA,204.049530928805,179.935243032982,24.1142878958229,12.8356506434397,-372.355107468783,1,1,"Contributed","T","Phytolaccaceae","Gallesia","integrifolia","Angiosperm"
"142","Gamochaeta purpurea","TropicalDry","H","E",1.83,78.04,-0.94,80.56612773,NA,0,1,NA,NA,NA,NA,NA,NA,1,1,"Contributed","H","Asteraceae","Gamochaeta","purpurea","Angiosperm"
"143","Garcinia cowa","TropicalDry","W","E",1.838786667,NA,-1.18899779,84.32854163,2.328874048,0,0,NA,196.390552107795,NA,NA,NA,NA,1,1,"Contributed","T","Clusiaceae","Garcinia","cowa","Angiosperm"
"144","Garcinia lancilimba","TropicalDry","W","E",1.651066667,NA,-1.026629181,66.475877255,0.603359513,0,1,NA,42.1746975514549,NA,NA,NA,NA,2,1,"Contributed","T","Clusiaceae","Garcinia","lancilimba","Angiosperm"
"145","Gaultheria shallon","TemperateConifer","W","E",1.9433445,93.91,-1.7765,86.2715,1.835,0,0,0.25,153.705558,144.34209342804,9.36346457196,4.80069512979286,-170.756066,2,1,"Contributed","S","Ericaceae","Gaultheria","shallon","Angiosperm"
"146","Genipa americana","TropicalDry","W","DD",2.02233333333333,87.263,-1.33066666666667,53.3375197103398,1.799,1,0,NA,95.9541979589013,83.6711873071725,12.2830106517288,11.8120185866667,-155.072162666667,3,1,"Contributed","T","Rubiaceae","Genipa","americana","Angiosperm"
"147","Ginkgo biloba","Temperate","W","CD",1.229594,96.3720245,-1.065044,64.3717025,3.529817,0,0,0.712726,209.240319740947,201.88993636251,7.35038337843756,6.14036177489759,-336.029407969253,2,1,"Contributed","T","Ginkgoaceae","Ginkgo","biloba","Angiosperm"
"148","Gliricidia sepium","TropicalDry","W","DD",2.03166666666667,79.7656666666667,-1.667,64.0342865183734,2.96966666666667,1,0,NA,190.160486197396,146.655578062718,43.5049081346783,18.1173665866667,-226.056978333333,3,1,"Contributed","T","Fabaceae","Gliricidia","sepium","Angiosperm"
"149","Glycine max","Crop","H","A",1.1123,86.3479,-0.9316,48.0208666666667,3.51926666666667,0,0,NA,158.646818093333,137.230567886885,21.4162502064479,19.7089152979642,-300.360551286667,3,1,"Contributed","H","Fabaceae","Glycine","max","Angiosperm"
"150","Gonocalyx costaricensis","TropicalMoist","W",NA,1.51426937166667,86.92666123,-1.31853011666667,NA,NA,1,1,NA,NA,NA,NA,20.9521411962943,NA,3,1,"Contributed","S","Ericaceae","Gonocalyx","costaricensis","Angiosperm"
"151","Gossypium hyrsutum","Crop","W","E",1.44,88.24,-1.29,73.23,3.59,0,0,NA,262.8957,231.97916568,30.91653432,21.4698155,-313.1916,1,1,"Contributed","S",NA,"Gossypium","hyrsutum","Angiosperm"
"152","Gouania polygama","TropicalDry","W","DD",2.03,73.7066666666667,-1.54333333333333,50.90565734,2.31,0,0,NA,112.7637614579,81.40672524994,31.35703620796,15.9472736176636,-158.701266666667,3,1,"Contributed","L","Rhamnaceae","Gouania","polygama","Angiosperm"
"153","Guazuma ulmifolia","TropicalDry","W","DD",2.23133333333333,77.8243333333333,-1.47033333333333,56.0235757679259,1.47866666666667,1,0,NA,82.8401940355064,64.144920821736,18.6952732137704,18.8319726933333,-113.017632333333,3,1,"Contributed","T","Malvaceae","Guazuma","ulmifolia","Angiosperm"
"154","Guazuma ulmifolia","TropicalDry","W","E",1.693567141,89.96291,-1.663995116,69.2320587,2.416758539,0,0,NA,167.317169035774,150.523394194201,16.7937748415728,9.91621438265305,-215.001872396788,1,1,"Contributed","T","Malvaceae","Guazuma","ulmifolia","Angiosperm"
"155","Gymnanthes lucida","TropicalDry","W","E",4.1664,83.666,-3.6448,128.572872133728,1.8558,1,0,NA,238.605536105773,199.631707838256,38.9738282675169,14.105031048496,-153.4115628,1,1,"Contributed","T","Euphorbiaceae","Gymnanthes","lucida","Angiosperm"
"156","Gymnopodium floribundum","TropicalDry","W","DD",2.057,85.22,-1.9256,86.9640838333768,6.944,1,0,NA,603.878598138969,514.625341334029,89.2532568049395,2.660557802352,-584.82368,1,1,"Contributed","T","Polygonaceae","Gymnopodium","floribundum","Angiosperm"
"157","Harpullia cupanioides","TropicalDry","W","E",1.7033681,69.524,-1.1946536,44.37194033,2.166476779,0,0,NA,96.1307783641186,66.8339623498698,29.2968160142488,17.1993452350369,-148.455654804196,1,1,"Contributed","T","Sapindaceae","Harpullia","cupanioides","Angiosperm"
"158","Hedera helix","Temperate","W","E",1.074864,95.137194,-0.660686,111.887808,2.12515,0,0,0.873189,237.7783751712,226.215674076672,11.5627010945276,10.7573619495375,-200.0556578291,1,1,"Contributed","L","Araliaceae","Hedera","helix","Angiosperm"
"159","Helianthus annus","Crop","H","H",0.792515,92.043695,-0.666384,43.207389,5.68290266666667,0,0,0.431127333333333,242.723892224886,223.469143595079,19.254748629807,24.4710385670913,-517.446048675469,3,1,"Contributed","H","Asteraceae","Helianthus","annus","Angiosperm"
"160","Helianthus annuus","Crop","H","A",0.71,86.82,-0.6,46,6.1,0,0,NA,280.6,243.61692,36.98308,52.0888450704225,-523.502,1,1,"Contributed","H","Asteraceae","Helianthus","annuus","Angiosperm"
"161","Helianthus annuus L.","Crop","H","A",0.84235,86.96475,-0.7536,40.9946,8.50225,0,0,NA,346.9174157,301.082388441331,45.8350272586685,56.2765590000839,-728.335691375,2,1,"Contributed","H",NA,"Helianthus","L.","Angiosperm"
"162","Heliocarpus popayanensis","TropicalDry","W","DD",1.097958348,85.72232,-0.890600664,50.49972829,3.492160645,0,0,NA,176.353163717531,151.174023332066,25.1791403854652,22.9326917831907,-295.863951657096,1,1,"Contributed","T","Malvaceae","Heliocarpus","popayanensis","Angiosperm"
"163","Hesperostipa comata","Grassland","H","A",2.654,87.374,-2.068,167.7638365,1.402,0,0,NA,235.204898773,205.507928253921,29.696970519079,11.1895141368044,-121.096348,1,1,"Contributed","H","Poaceae","Hesperostipa","comata","Angiosperm"
"164","Heteropogon contortus","Crop","H","H",1.635,76.6,-1.115,47.3077634619531,1.24137931034483,1,1,NA,58.7268787803557,44.9847891457525,13.7420896346032,8.66893907187121,-93.8482758620692,2,1,"mb14",NA,"Poaceae","Heteropogon","contortus","Angiosperm"
"165","Heteropterys laurifolia","TropicalDry","W","DD",2.17333333333333,82.485,-1.89333333333333,67.5623308866667,2.08666666666667,0,0,NA,138.443139902367,124.388787715127,26.3982156189227,11.5824238382482,-159.4558,3,1,"Contributed","L","Malpighiaceae","Heteropterys","laurifolia","Angiosperm"
"166","Heterotheca villosa","Grassland","H","A",1.658571429,80.99571429,-1.254285714,86.25120635,3.531428571,0,0,NA,304.589974387607,246.70482541097,57.8851489766366,34.9006066091089,-282.499151001259,1,1,"Contributed","H","Asteraceae","Heterotheca","villosa","Angiosperm"
"167","Hibiscus rosa-sinensis","TropicalMoist","W","CD",1.316579,98.101841,-1.181174,95.212118,3.414644,0,0,0.805223,325.115487455992,318.944278570452,6.17120888553978,4.6873061818089,-331.568218759604,1,1,"Contributed","S","Malvaceae","Hibiscus","rosa-sinensis","Angiosperm"
"168","Hieronyma alchorneoides","TropicalDry","W","CD",1.1825,89.9221833333333,-1.05983333333333,67.014512430181,2.7711,1,0,NA,185.703915395274,166.7049517836,18.9989636116743,15.9680397555741,-245.988378713333,6,1,"Contributed","T","Phyllanthaceae","Hieronyma","alchorneoides","Angiosperm"
"169","Hillia loranthoides","TropicalMoist","W",NA,1.224695067,77.804770685,-1.0011546075,NA,NA,1,1,NA,NA,NA,NA,117.768923006437,NA,2,1,"Contributed","S","Rubiaceae","Hillia","loranthoides","Angiosperm"
"170","Hillia palmana","TropicalMoist","W",NA,1.16011858133333,89.5900927433333,-1.01829109166667,NA,NA,1,1,NA,NA,NA,NA,25.7813118926326,NA,3,1,"Contributed","S","Rubiaceae","Hillia","palmana","Angiosperm"
"171","Hippophae rhamnoides","Other","W","CD",1.4648,89.695,-1.2389,85.2749371187769,2.14859739353766,1,1,NA,183.221507627492,164.340531266479,18.8809763610131,12.8591801248127,-190.569845819823,2,1,"mb14",NA,"Elaeagnaceae","Hippophae","rhamnoides","Angiosperm"
"172","Hiraea reclinata","TropicalDry","W","DD",3.09,86.08,-2.63333333333333,65.3556472866667,1.39,0,0,NA,90.5095236011667,77.9316456594779,12.5778779416887,4.06844979466399,-118.322,3,1,"Contributed","L","Malpighiaceae","Hiraea","reclinata","Angiosperm"
"173","Hura crepitans","TropicalDry","W","CD",1.61683333333333,95.47875,-1.44816666666667,62.3228023103751,2.92828333333333,1,0,NA,182.4988232921,174.27147039961,8.22735289248953,4.8222529208805,-276.69885784,6,1,"Contributed","T","Euphorbiaceae","Hura","crepitans","Angiosperm"
"174","Hymenea courbaril","TropicalDry","W","E",2.164,86.8313333333333,-1.59733333333333,NA,1.15733333333333,1,0,NA,NA,NA,NA,8.05283016,-99.3800926666667,3,1,"Contributed","T",NA,"Hymenea","courbaril","Angiosperm"
"175","Hypochaeris lutea","TropicalDry","H","E",1.73,84.61,-1.38,30.80801772,NA,0,1,NA,NA,NA,NA,NA,NA,1,1,"Contributed","H","Asteraceae","Hypochaeris","lutea","Angiosperm"
"176","Ilex verticillata","Temperate","W",NA,1.47,NA,NA,58.6855313514326,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,"Contributed","T","Aquifoliaceae","Ilex","verticillata","Angiosperm"
"177","Isohilus chiriquensis","TropicalMoist","W",NA,0.776294453,92.75151972,-0.648376554,NA,NA,1,1,NA,NA,NA,NA,20.7703603554407,NA,1,1,"Contributed","L",NA,"Isohilus","chiriquensis","Angiosperm"
"178","Juniperus californica","Med/TempDry","W","E",3.934,81.7,-2.6345,NA,0.8235,1,0,0.421,NA,NA,NA,33.63452776,-66.48365,2,1,"Contributed","T","Cupressaceae","Juniperus","californica","Gymnosperm"
"179","Knema furfuracea","TropicalDry","W","E",1.889122667,NA,-1.160053916,102.1276064,1.170450201,0,0,NA,119.535277438529,NA,NA,NA,NA,1,1,"Contributed","T","Myristicaceae","Knema","furfuracea","Angiosperm"
"180","Knema globularia","TropicalDry","W","E",1.517322039,84.238,-1.0632397155,62.8388171,2.0347424765,0,0,0.27590339,127.68493219857,106.210049557157,19.8732496156118,14.2855209517588,-161.93660110335,2,1,"Contributed","T","Myristicaceae","Knema","globularia","Angiosperm"
"181","Koeleria macrantha","Grassland","H","A",2.144,88.854,-1.672,119.2081792,2.09,0,0,NA,249.145094528,221.375382291909,27.7697122360909,12.9522911548931,-183.61486,1,1,"Contributed","H","Poaceae","Koeleria","macrantha","Angiosperm"
"182","Krugiodendron ferreum","TropicalDry","W","E",1.973,92.56,-1.3528,90.6731976639804,5.644,1,0,NA,511.759527615505,473.684618760912,38.0749088545936,12.742978597984,-516.76464,1,1,"Contributed","T","Rhamnaceae","Krugiodendron","ferreum","Angiosperm"
"183","Larix decidua","TemperateConifer","W","CD",2.46333333333333,93.4333333333333,-1.73333333333333,93.4319450914903,1.64367776929032,1,1,NA,153.572011088436,143.488360660064,10.0836504283726,4.13091267213707,-151.930615141402,3,2,"mb12",NA,"Pinaceae","Larix","decidua","Gymnosperm"
"184","Lasianthus verticillatus","TropicalDry","W","E",1.827866667,NA,-1.125532412,68.8573566,1.994726549,0,0,NA,137.35159730398,NA,NA,NA,NA,1,1,"Contributed","T","Rubiaceae","Lasianthus","verticillatus","Angiosperm"
"185","Laurus nobilis","Med/TempDry","W","E",2.424667,93.18659,-2.018663,127.08467,1.139677,0,0,0.563687,144.83547545159,134.967240683624,9.86823476796619,4.06993404371247,-105.06293633143,1,1,"Contributed","T","Lauraceae","Laurus","nobilis","Angiosperm"
"186","Leea compactiflora","TropicalDry","W","E",1.4875321835,61.717,-0.9591523915,60.421898375,1.84914923,0,0,NA,111.648747252252,63.9794825561255,39.6864159096546,27.0068635950291,-113.279240714874,2,1,"Contributed","T","Leeaceae","Leea","compactiflora","Angiosperm"
"187","Leptostelma maximum","TropicalDry","H","E",1.65,77.15,-1.26,66.91689969,NA,0,1,NA,NA,NA,NA,NA,NA,1,1,"Contributed","H",NA,"Leptostelma","maximum","Angiosperm"
"188","Leucocrinum montanum","Grassland","H","A",1.19625,89.05875,-0.80125,90.33237305,4.31875,0,0,NA,390.122936109687,347.438610362586,42.6843257471011,35.681777009071,-380.3037265625,1,1,"Contributed","H","Asparagaceae","Leucocrinum","montanum","Angiosperm"
"189","Liatris punctata","Grassland","H","A",1.5,83.136,-1.15,161.9407695,2.966,0,0,NA,480.316322337,399.315777738088,81.0005445989117,54.0003630659411,-243.615376,1,1,"Contributed","H","Asteraceae","Liatris","punctata","Angiosperm"
"190","Limonium perezii","Med/TempDry","W","E",1.589941,92.19912,-1.205241,159.898534,3.57509,0,0,0.635026,571.65164991806,527.057790689932,44.5938592281279,28.0474931007679,-326.0450619208,1,1,"Contributed","S","Plumbaginaceae","Limonium","perezii","Angiosperm"
"191","Linaria dalmatica","Grassland","H","A",1.396666667,88.178,-1.071666667,81.13886223,3.634,0,0,NA,294.85862534382,260.000438655674,34.8581866881464,24.9581288877043,-316.804852,1,1,"Contributed","H","Plantaginaceae","Linaria","dalmatica","Angiosperm"
"192","Liquidambar styraciflua","Temperate","W","CD",2.335,79.5,-1.755,53.4185085807905,2.03030303030303,1,1,NA,108.455759845847,86.2223290774486,22.2334307683987,9.5597374448323,-159.378787878788,2,1,"mb14",NA,"Altingiaceae","Liquidambar","styraciflua","Angiosperm"
"193","Liriodendron tulipifera","Temperate","W","CD",2.165,75,-1.595,43.3083059759727,2.84325582076622,1,1,NA,123.136593053709,92.3524447902817,30.7841482634272,14.2856865808785,-210.4009307367,2,1,"mb14",NA,"Magnoliaceae","Liriodendron","tulipifera","Angiosperm"
"194","Lonchocarpus guatemalensis","TropicalDry","W","DD",1.8312,72.19,-1.3766,59.9303047078284,2.5886,1,0,NA,155.135586766685,111.99238008687,43.143206679815,15.854217453984,-184.282434,1,1,"Contributed","T","Fabaceae","Lonchocarpus","guatemalensis","Angiosperm"
"195","Lonchocarpus xuul","TropicalDry","W","DD",2.5404,95.35,-2.1938,NA,2.7602,1,0,NA,NA,NA,NA,12.753452681776,-260.42487,1,1,"Contributed","T",NA,"Lonchocarpus","xuul","Angiosperm"
"196","Luehea candida","TropicalDry","W","DD",1.2907333335,77.777666665,-1.0280666665,47.3553856394007,4.6849333335,1,0,NA,221.856824702776,177.3550758492,44.5017488535761,5.9375210206,-369.834402650191,2,1,"Contributed","T","Malvaceae","Luehea","candida","Angiosperm"
"197","Luehea speciosa","TropicalDry","W","DD",1.6915,81.7875,-1.54875,NA,1.90875,1,0,NA,NA,NA,NA,3.2937786806,-154.203140625,1,1,"Contributed","T","Malvaceae","Luehea","speciosa","Angiosperm"
"198","Lupinus angustifolius","Crop","H","H",0.915,84.75,-0.72,49.7933911763722,5.2901201581387,1,1,NA,263.413022404212,223.24253648757,40.1704859166424,44.6091535501728,-443.047563244116,2,1,"mb14",NA,"Fabaceae","Lupinus","angustifolius","Angiosperm"
"199","Lysiloma latisiliquum","TropicalDry","W","DD",2.1508,91.754,-1.8792,122.309197651663,0.8128,1,0,NA,99.412915851272,91.2153268101761,8.19758904109588,13.8680724676,-73.7648512,1,1,"Contributed","T","Fabaceae","Lysiloma","latisiliquum","Angiosperm"
"200","Mabea fistulifera","TropicalDry","W","DD",1.964138359,87.55148,-1.741778045,81.33062928,1.684608924,0,0,NA,137.010303879624,119.954548799108,17.0557550805157,8.68358127744082,-145.805395593407,1,1,"Contributed","T","Euphorbiaceae","Mabea","fistulifera","Angiosperm"
"201","Macfadyena unguis-cati","TropicalDry","W","DD",2.17,90.1433333333333,-1.79333333333333,52.12733073,1.91666666666667,0,0,NA,96.2071014397333,86.7544996514539,9.45260178827947,4.3083293770294,-170.257566666667,3,1,"Contributed","L","Bignoniaceae","Macfadyena","unguis-cati","Angiosperm"
"202","Machaerina ensifolia","TropicalDry","H","E",2.28,89.28,-1.69,273.8895723,NA,0,1,NA,NA,NA,NA,NA,NA,1,1,"Contributed","H",NA,"Machaerina","ensifolia","Angiosperm"
"203","Machaerium capote","TropicalDry","W","E",1.70325,94.935,-1.27475,NA,3.794,1,0,NA,NA,NA,NA,9.47199735346,-356.38939,1,1,"Contributed","T",NA,"Machaerium","capote","Angiosperm"
"204","Machaerium milleflorum","TropicalDry","W","CD",1.518,83.79405,-1.20483333333333,62.3905381293998,1.65421666666667,1,0,NA,103.207468015955,86.4527621803559,16.7547058355994,11.1270295666199,-136.912887853333,6,1,"Contributed","L","Fabaceae","Machaerium","milleflorum","Angiosperm"
"205","Macleania insignis","TropicalMoist","W",NA,1.73686993333333,80.2685847533333,-1.469153358,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,1,"Contributed","S","Ericaceae","Macleania","insignis","Angiosperm"
"206","Maclura tinctoria","TropicalDry","W","DD",1.98275,77.7125,-1.62225,45.876107998954,6.73,1,0,NA,308.746206832961,239.934395985065,68.8118108478961,14.12031341052,-516.275125,1,1,"Contributed","T","Moraceae","Maclura","tinctoria","Angiosperm"
"207","Macropanax dispermus","TropicalDry","W","E",1.6133083335,82.731,-1.1635431995,57.746001885,2.670227879,0,0,NA,154.287890965096,119.05123324373,24.8503674183314,16.7042203031125,-215.922828581005,2,1,"Contributed","T","Araliaceae","Macropanax","dispermus","Angiosperm"
"208","Maianthemum monteverdense","TropicalMoist","W",NA,1.034292014,91.01535097,-0.947160493,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,"Contributed","L",NA,"Maianthemum","monteverdense","Angiosperm"
"209","Mallotus garrettii","TropicalDry","W","E",1.6341423335,87.838,-1.1447927055,36.236441055,2.215333074,0,0,0.41613809,80.1154634916675,80.7304173731447,11.1778881132561,6.88214780404219,-223.045618411056,2,1,"Contributed","T","Euphorbiaceae","Mallotus","garrettii","Angiosperm"
"210","Manilkara chicle","TropicalDry","W","E",2.14166666666667,87.1853333333333,-1.36,89.558262668487,1.30833333333333,1,0,NA,117.172060324604,102.147360181881,15.0247001427228,9.98046512,-112.748546666667,3,1,"Contributed","T","Sapotaceae","Manilkara","chicle","Angiosperm"
