"","Species","Biome","Growth.Form","Ever.Decid","TLP","totRWCtlp","Po","LMA","SWC","Ref","LMA_imputed","SWC_imputed","Lat","Lon","Treatment","ApoFrac","sympRWCtlp","T.S.L.H","Wild.Garden","Life.Stage","Psi.PD","Psi.min","Rehydrated","Elev","SWA","LWAtlp","water_loss.m2","CFT.g.m2","Other.Notes","Dataset","RWCslope","water_loss.g","Family","Genus","Species_name","Gymno.Angio"
"2411","Woodfordia fruticosa","TropicalDry","W","E",-2.17,76,-1.7,49.3,1.28792936362658,"Shrestha et al. 2008",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.4949176267904,48.2561373963607,15.2387802304297,7.02247936886161,NA,"mb12",-52.08,-96.5947022719935,"Lythraceae","Woodfordia","fruticosa","Angiosperm"
"1103","Abies balsamea","TemperateConifer","W","E",-1.28,93.1,-1.03,86.938936617188,0.820830298616169,"Pothier & Margolis 1990",1,1,"47.3",-71.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.3621133048586,66.4381274868234,4.92398581803525,3.84686392034004,NA,"mb14",-8.83200000000001,-75.5984705025491,"Pinaceae","Abies","balsamea","Gymnosperm"
"2101","Abies grandis","TemperateConifer","W","E",-2.29,90.8,-2.03,100.96568107667,1.89435600578871,"Jackson & Spomer 1989",1,1,"46.8",-116.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.264944326137,173.668569448132,17.5963748780046,7.68400649694523,NA,"mb14",-21.068,-170.113169319826,"Pinaceae","Abies","grandis","Gymnosperm"
"3101","Acer rubrum","Temperate","W","CD",-1.98,91.6,-1.81,49.2267485520678,2.23408443969605,"Abrams 1988",1,1,"44.710281",-89.09582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.976712957005,100.738669068616,9.23804388838839,4.66567873150929,NA,"mb14",-16.632,-202.408050236462,"Sapindaceae","Acer","rubrum","Angiosperm"
"4101","Betula papyrifera","Temperate","W","CD",-1.61,88.1,-1.35,54.4337757781983,1.31155051067075,"Pothier & Margolis 1990",1,1,"47.3",-71.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.3926464196331,62.8969214956967,8.49572492393634,5.27684777884245,NA,"mb14",-19.159,-114.236049479422,"Betulaceae","Betula","papyrifera","Angiosperm"
"5101","Carpinus viminea","TropicalDry","W","CD",-2.5,83.5,-2.21,58.0795262257713,1.54550082728777,"Singh et al. 2006",1,1,"29.38333333",79.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.7619558304112,74.9512331183934,14.8107227120178,5.92428908480714,NA,"mb14",-41.25,-127.503818251241,"Betulaceae","Carpinus","viminea","Angiosperm"
"6102","Casearia sylvestris","TropicalDry","W","E",-2.73,90.66,-2.46,70.0545042314021,1.43882908663967,"Wenhui 1998",1,1,"-22.25",-43.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.796458338263,91.3820691294694,9.41438920879379,3.44849421567538,NA,"mb14",-25.4982,-129.005415908113,"Salicaceae","Casearia","sylvestris","Angiosperm"
"7102","Celtis occidentalis","Temperate","W","CD",-1.71,88.9,-1.46,30.4752955184773,3.53575724967645,"Abrams & Knapp 1986",1,1,"39.1",-96.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.753247065488,95.7926366412192,11.9606104242692,6.99450902004046,NA,"mb14",-18.981,-310.79306224656,"Cannabaceae","Celtis","occidentalis","Angiosperm"
"8102","Cornus florida","Temperate","W","CD",-2,75,-1.48,40.2397726716746,3.01877059917829,"Roberts & Knoerr 1977",1,1,"35.9",-79.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.474642658869,91.1059819941521,30.3686606647174,15.1843303323587,NA,"mb14",-50,-223.389024339193,"Cornaceae","Cornus","florida","Angiosperm"
"9102","Erythrophleum chlorostachys","Med/TempDry","W","CD",-2.13,91,-1.95,109.476231762503,0.946981151139878,"Myers et al. 1997",1,1,"-12.5667",131.0833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.671927976911,94.3414544589887,9.33047351792197,4.3805039990244,NA,"mb14",-19.17,-85.228303602589,"Fabaceae","Erythrophleum","chlorostachys","Angiosperm"
