Contributor,Species,Treatment,Co-author?,Biomes,Growth_form,Tree/Shrub/Liana/Herb,Evergreen_Deciduous,Wild/Garden/Potted,Life Stage,πtlp (MPa),πtlp SD,πtlp SE,total RWCtlp (%),tot RWCtlp SD,tot RWCtlp SE,LMA (g/m2),LMA SD,LMA SE,SWC,SWC SD,SWC SE,CFT* (mol m-2 MPa-1),CFT SD,CFT SE,πo (MPa),ε (MPa),af,RWCtlp (%),Ψpd (MPa),Ψmin (MPa),Latitude,Longitude,Elevation (m),Site Name,Rehydrated?,Month Collected,Year Collected,Other Env Notes,Methods notes,Reference,Other Notes,,,,,,,,,,
Eduardo Haverroth,Phaseolu vulgaris,NA,Y,Crop,H,H,A,Potted,Sa,-0.79,0.11,0.04,84,11,4,42.8,14.21,5.37,6.14,2.33,0.88,2.54,0.3,0.11,-0.68,4.91,,,,,"35.854167,",-78.761944,101,"NCSU, Raleigh, NC, USA",Y,,2023,Native tree from Atlantic Forest,,,,,,,,,,,,,
Leonardo Oliveira,Eucalyptus urophylla x Eucalyptus camaldulensis,NA,Y,Crop,W,T,E,Potted,Sa,-2.77,,0.18,86.5,,3.73,87.89377,,1.15843,,,,1.664,,0.067,-2.426,23.566,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",,July,2019,,Each point on the PV curve is an individual leaf. See the methodology in the reference article,https://doi.org/10.1093/treephys/tpac040,n=3,,,,,,,,,,
Leonardo Oliveira,Eucalyptus urophylla x Eucalyptus grandis,NA,Y,Crop,W,T,E,Potted,Sa,-2.77,,0.11,83.1,,2.05,76.20766,,0.943301,,,,1.212,,0.063,-2.276,16.694,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",,July,2019,,Each point on the PV curve is an individual leaf. See the methodology in the reference article,https://doi.org/10.1093/treephys/tpac040,n=3,,,,,,,,,,
Leonardo Oliveira,Eucalyptus urophylla,NA,Y,Crop,W,T,E,Potted,Sa,-2.78,,0.27,80.2,,3.97,72.70132,,1.127996,,,,1.193,,0.049,-2.163,12.944,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",,July,2019,,Each point on the PV curve is an individual leaf. See the methodology in the reference article,https://doi.org/10.1093/treephys/tpac040,n=3,,,,,,,,,,
Leonardo Oliveira,Coffea arabica,NA,Y,Crop,W,S,E,Potted,Se,-1.5,,0.12,92.007,,0.845,,,,2.948,,0.103,4.4521,,0.48,-1.18,14.193,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",Y,March ,2020,,,Unpublished,n≥6,,,,,,,,,,
Leonardo Oliveira,Capsicum chinense cv. Habanero,NA,Y,Crop,W,H,A,Potted,Se,-1.11,,0.035,90.5,,0.61,31.11,,3.29,4.53,,0.29,4.19,,0.31,-0.99,10.76,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",Y,March ,2021,,,Unpublished,n≥6,,,,,,,,,,
Leonardo Oliveira,Solanum lycopersicum ,NA,Y,Crop,H,H,E,Potted,Se,-0.82,,0.019,92.84,,0.45,22.31,,2.28,7.73,,0.0043,3.62,,0.27,-0.73,10.43,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",Y,March ,2021,,,Unpublished,Variety Santa Cruz; n≥6,,,,,,,,,,
Leonardo Oliveira,Eucalyptus urophylla x Eucalyptus grandis,NA,Y,Crop,W,T,E,Potted,Se,-2.28,,0.1,89.21,,2.16,75.65637,,4.904065,1.838295,,0.064,1.467002,,0.134537,-1.81,17.11,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",Y,March ,2020,,,Unpublished,n≥6,,,,,,,,,,
Leonardo Oliveira,Eucalyptus camaldulensis,NA,Y,Crop,W,T,E,Potted,Sa,-1.97,,0.09,87.4,,1.22,94.17,,3.95,1.84,,0.04,2.44,,0.103847,-1.58,10.75,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",Y,November,2022,,,Unpublished,n≥6,,,,,,,,,,
Leonardo Oliveira,Eucalyptus tereticornes,NA,Y,Crop,W,T,E,Potted,Sa,-2.01,,0.07,87.21,,0.88,105.77,,3.01,1.6,,0.03,2.16,,0.04276,-1.59,9.49,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",Y,November,2022,,,Unpublished,n≥6,,,,,,,,,,
Leonardo Oliveira,Eucalyptus dunnii,NA,Y,Crop,W,T,E,Potted,Sa,-2.23,,0.08,85.61,,1.09,81.27,,6.18,1.44,,0.07,1.42,,0.043925,-1.7,8.82,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",Y,November,2022,,,Unpublished,n≥6,,,,,,,,,,
Leonardo Oliveira,Eucalyptus pilularis,NA,Y,Crop,W,T,E,Potted,Sa,-1.51,,0.04,91.43,,0.31,90.82,,3.75,1.39,,0.04,1.06,,0.036407,-1.05,3.55,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",Y,November,2022,,,Unpublished,n≥6,,,,,,,,,,
Leonardo Oliveira,Eucalyptus grandis,NA,Y,Crop,W,T,E,Potted,Sa,-2.07,,0.11,87.13,,0.83,82.7,,2.94,1.42,,0.05,1.52,,0.078411,-1.6,8,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",Y,November,2022,,,Unpublished,n≥6,,,,,,,,,,
Leonardo Oliveira,Eucalyptus urophylla,NA,Y,Crop,W,T,E,Potted,Sa,-1.84,,0.03,88.51,,0.51,69.7,,3.64,2.01,,0.07,1.91,,0.069913,-1.45,7.58,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",Y,November,2022,,,Unpublished,n≥6,,,,,,,,,,
Leonardo Oliveira,Eucalyptus pellita,NA,Y,Crop,W,T,E,Potted,Sa,-2.19,,0.08,86.01,,0.58,105.34,,3.28,1.67,,0.05,2.4,,0.146507,-1.61,9.06,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",Y,November,2022,,,Unpublished,n≥6,,,,,,,,,,
Leonardo Oliveira,Gossypium hyrsutum,NA,Y,Crop,W,S,E,Potted,Se,-1.44,,0.02,88.24,,0.367,73.23,,1.62,3.59,,0.07,5.68,,0.170943,-1.29,9.08,,,,,35.854167,-78.761944,101,"NCSU, Raleigh, NC, USA",Y,May,2023,,,Unpublished,n≥36 from six different genotypes  ,,,,,,,,,,
Amanda Cardoso,Helianthus annuus,NA,y,Crop,H,H,A,Potted,Ad,-0.71,,0.03,86.82,,0.42,46,,2.7,6.1,,0.2,3.01,,0.1,-0.6,4.24,,,,,-42.8826,147.3257,17,"Hobart, Tasmania, Australia",,,2017,,, https://doi.org/10.1111/pce.13335,,,,,,,,,,,
Amanda Cardoso,Glycine max,NA,Y,Crop ,H,H,A,Potted,Ad,-0.99,,0.052,83.28,,1.119,37.17,,2.69,4.06,,0.329,1.444,,0.176,-0.86,5.14,,,,,-42.8826,147.3257,17,"Hobart, Tasmania, Australia",,,2017,,,Unpublished,,,,,,,,,,,
Amanda Cardoso,Athyrium filix-femina,NA,Y,Fern,H,H,A,Potted,Ad,-0.88,,0.13,94.55,,1.45,24.7,,2.5,5.2,,0.53,1.08,,0.33,-0.76,9.04,,,,,40.4259,-86.9081,215,"West Lafayette, IN, USA (Purdue Uni)",,,2018,,,doi: 10.1104/pp.18.01412,,,,,,,,,,,
Amanda Cardoso,Phellodendron amurense,NA,Y,Temperate,W,T,,Garden,Ad,-1.3,,0.09,92.68,,1.13,114,,13.15,1.76,,0.04,1.08,,0.083,-1.11,8.9,,,,,40.4259,-86.9081,215,"West Lafayette, IN, USA (Purdue Uni)",,,2018,,,doi: 10.1111/ppl.13450,,,,,,,,,,,
Amanda Cardoso,Ilex verticillata,NA,Y,Temperate,W,T,,Garden,Ad,-1.47,,0.07,,,,,,,,,,,,,,,,,,,40.4259,-86.9081,215,"West Lafayette, IN, USA (Purdue Uni)",,,2018,,,doi: 10.1111/ppl.13450,,,,,,,,,,,
Amanda Cardoso,Betula pubescens,NA,Y,Temperate,W,T,,Garden,Ad,-1.09,,0.11,,,,,,,,,,,,,,,,,,,40.4259,-86.9081,215,"West Lafayette, IN, USA (Purdue Uni)",,,2018,,,doi: 10.1111/ppl.13450,,,,,,,,,,,
Talitha Soares Pereira; Leonardo Oliveira,Vigna unguiculata,NA,Y,Crop,H,H,A,Potted,Sa,-0.89,,0.04,86.41,,0.98,51.93,,3.21,5.44,,0.5,8.42,,0.66,-0.8,8.42,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",Y,November,2019,,,doi:10.1111/ppl.14114,Variety Pingo de Ouro1-2; n≥6,,,,,,,,,,
Talitha Soares Pereira; Leonardo Oliveira,Solanum lycopersicum,NA,Y,Crop,H,H,E,Potted,Sa,-0.86,,0.028,89.5,,0.76,30.29,,3.9,5.51,,0.33,4.07,,0.29,-0.75,9.77,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",Y,November,2019,,,doi:10.1111/ppl.14115,Variety M82; n≥6,,,,,,,,,,
Talitha Soares Pereira; Leonardo Oliveira,Glycine max,NA,Y,Crop,H,H,A,Potted,Sa,-1.31,,0.04,86.6,,1.13,64.93,,4.92,2.28,,0.21,2.05,,0.12,-1.04,8.43,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",Y,November,2019,,,doi:10.1111/ppl.14116,Variety EMBRAPA 48; n≥6,,,,,,,,,,
Talitha Soares Pereira; Leonardo Oliveira,Helianthus annuus L.,NA,Y,Crop,H,H,A,Potted,Sa,-0.92,,0.03,89.8,,1,42.8,,3.72,7.6,,0.18,6.59,,0.6,-0.83,9.92,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",Y,November,2019,,,doi:10.1111/ppl.14117,n≥6,,,,,,,,,,
Talitha Soares Pereira; Leonardo Oliveira,Solanum galapagense,NA,Y,Crop,H,H,E,Potted,Sa,-1.06,,0.46,89.3,,0.9,26.34,,1.54,6.17,,0.46,4.78,,0.51,-0.9,9.97,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",Y,April,2022,,,Unpublished,n≥6,,,,,,,,,,
Talitha Soares Pereira; Leonardo Oliveira,Solanum habrochaites,NA,Y,Crop,H,H,E,Potted,Sa,-0.99,,0.03,85.3,,1.5,24.54,,1.2,6.29,,0.1,5.48,,0.96,-0.89,5.9,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",Y,May,2022,,,Unpublished,n≥6,,,,,,,,,,
Talitha Soares Pereira; Leonardo Oliveira,Solanum pimpinellifolium,NA,Y,Crop,H,H,E,Potted,Sa,-1,,0.034,90.7,,0.6,24.81,,1.4,8.41,,0.21,5.08,,0.77,-0.92,9.86,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",Y,June,2022,,,Unpublished,n≥6,,,,,,,,,,
Talitha Soares Pereira; Leonardo Oliveira,Solanum pennellii,NA,Y,Crop,H,H,E,Potted,Sa,-0.93,,0.04,84.5,,1.9,24.23,,0.67,10.07,,0.2,8.84,,0.51,-0.81,5.64,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",Y,July,2022,,,Unpublished,n≥6,,,,,,,,,,
Talitha Soares Pereira; Leonardo Oliveira,Solanum lycopersicum,NA,Y,Crop,H,H,E,Potted,Sa,-0.93,,0.031,91.3,,0.49,29.69,,0.89,8.17,,0.2,6.35,,0.51,-0.81,9.37,,,,,-20.753889,-42.881667,648,"UFV, Viçosa, MG, Brazil",Y,August,2022,,,Unpublished,Variety Santa Cruz; n≥6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
