Contributor,Species,Treatment,Co-author?,Biomes,Growth_form,Tree/Shrub/Liana,Evergreen_Deciduous,Wild/Garden/Potted,Life Stage,πtlp (MPa),πtlp SD,πtlp SE,total RWCtlp (%),tot RWCtlp SD,tot RWCtlp SE,LMA (g/m2),SWC,CFT* (mol m-2 MPa-1),πo (MPa),ε (MPa),af,RWCtlp (%),Ψpd (MPa),Ψmin (MPa),Latitude,Longitude,Elevation (m),Site Name,Rehydrated?,Month Collected,Year Collected,Other Env Notes,Methods notes,Reference,Other Notes,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 166, Height: 45",Y,TemperateConifer,W,T,E,Wild,Ad,-1.74069,,,89.114,,,528.54707,1.30047,2.39083,-1.26076,11.27145,0.6199,71.361,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 166, Height: 44",Y,TemperateConifer,W,T,E,Wild,Ad,-1.85967,,,88.624,,,574.17096,1.23518,2.40915,-1.33247,11.39161,0.61633,70.35,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 166, Height: 42.5",Y,TemperateConifer,W,T,E,Wild,Ad,-1.26835,,,91.476,,,504.53446,1.33357,2.51267,-0.90309,10.36118,0.71163,70.44,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 166, Height: 37.2",Y,TemperateConifer,W,T,E,Wild,Ad,-1.7243,,,88.925,,,456.04582,1.3486,2.19608,-1.30571,11.60713,0.56029,74.812,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 166, Height: 36.8",Y,TemperateConifer,W,T,E,Wild,Ad,-2.18558,,,90.116,,,562.67523,1.35457,1.91518,-1.66995,16.54896,0.59451,75.624,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 166, Height: 32.6",Y,TemperateConifer,W,T,E,Wild,Ad,-1.49331,,,89.464,,,528.29298,1.28334,2.65831,-1.06066,9.91912,0.65279,69.655,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 166, Height: 30.4",Y,TemperateConifer,W,T,E,Wild,Ad,-1.70024,,,90.691,,,536.50257,1.22386,1.99581,-1.21319,12.3333,0.6819,70.736,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 166, Height: 26.9",Y,TemperateConifer,W,T,E,Wild,Ad,-1.27015,,,92.581,,,511.18372,1.37113,2.27791,-0.82027,10.4508,0.79899,63.089,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 166, Height: 25.9",Y,TemperateConifer,W,T,E,Wild,Ad,-1.80449,,,90.36,,,481.65616,1.30267,1.86377,-1.38058,14.1132,0.60333,75.697,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 166, Height: 24.7",Y,TemperateConifer,W,T,E,Wild,Ad,-1.75215,,,89.562,,,552.69221,1.27517,2.33461,-1.28343,12.09134,0.6274,71.986,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 166, Height: 19.9",Y,TemperateConifer,W,T,E,Wild,Ad,-1.47334,,,91.11,,,542.77631,1.25716,2.29009,-1.03096,11.27278,0.71915,68.346,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 166, Height: 17.3",Y,TemperateConifer,W,T,E,Wild,Ad,-1.48024,,,91.956,,,501.54639,1.20214,1.81875,-1.06286,12.90194,0.7305,70.153,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 166, Height: 9.8",Y,TemperateConifer,W,T,E,Wild,Ad,-1.4116,,,91.07,,,487.83178,1.24694,2.13686,-0.99577,10.60019,0.70751,69.471,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 83.9",Y,TemperateConifer,W,T,E,Wild,Ad,-2.51081,,,84.165,,,590.57081,0.95953,1.98412,-1.91654,11.8737,0.35859,75.312,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 83.5",Y,TemperateConifer,W,T,E,Wild,Ad,-2.74178,,,82.247,,,519.63436,0.85467,1.59667,-1.84237,9.89169,0.49361,64.942,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 79.7",Y,TemperateConifer,W,T,E,Wild,Ad,-2.30936,,,86.135,,,559.43956,1.0328,1.92724,-1.64976,11.60609,0.54098,69.795,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 78.4",Y,TemperateConifer,W,T,E,Wild,Ad,-2.25716,,,85.901,,,493.31123,0.87579,1.49852,-1.54625,10.44149,0.58011,66.421,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 74.5",Y,TemperateConifer,W,T,E,Wild,Ad,-1.95004,,,88.648,,,585.19646,1.13562,2.1498,-1.34765,11.46704,0.6502,67.549,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 71",Y,TemperateConifer,W,T,E,Wild,Ad,-2.35268,,,85.637,,,673.53106,1.16373,2.65861,-1.72693,11.7811,0.48756,71.97,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 67.2",Y,TemperateConifer,W,T,E,Wild,Ad,-2.12307,,,89.209,,,563.57262,1.19766,1.90474,-1.58807,14.45639,0.59705,73.221,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 64.6",Y,TemperateConifer,W,T,E,Wild,Ad,-2.1828,,,86.694,,,539.11615,1.04495,1.90739,-1.52288,11.03316,0.58562,67.889,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 63.4",Y,TemperateConifer,W,T,E,Wild,Ad,-1.81949,,,90.669,,,521.78407,1.10621,1.64397,-1.26845,12.70299,0.69947,68.95,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 61",Y,TemperateConifer,W,T,E,Wild,Ad,-2.20139,,,86.746,,,498.01217,1.14721,1.91069,-1.63193,11.89169,0.50479,73.235,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 59",Y,TemperateConifer,W,T,E,Wild,Ad,-1.95335,,,89.092,,,599.06882,1.14984,2.13718,-1.44145,12.92584,0.60341,72.496,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 55.8",Y,TemperateConifer,W,T,E,Wild,Ad,-1.88432,,,89.262,,,609.39829,1.26998,2.45347,-1.36237,12.38417,0.62673,71.233,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 53.4",Y,TemperateConifer,W,T,E,Wild,Ad,-2.37711,,,87.324,,,579.18001,1.17611,2.01974,-1.79264,13.91813,0.50907,74.179,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 50.6",Y,TemperateConifer,W,T,E,Wild,Ad,-2.04987,,,88.3,,,612.46873,1.21719,2.36513,-1.47069,12.12681,0.59859,70.853,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 50.2",Y,TemperateConifer,W,T,E,Wild,Ad,-2.41962,,,85.08,,,599.73699,1.16926,2.40284,-1.77109,11.61376,0.47153,71.767,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 49.7",Y,TemperateConifer,W,T,E,Wild,Ad,-2.00003,,,88.711,,,532.11824,1.22474,2.04523,-1.48786,12.94499,0.57963,73.144,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 41.9",Y,TemperateConifer,W,T,E,Wild,Ad,-1.77013,,,91.11,,,591.731,1.18819,1.96085,-1.31698,14.39724,0.66366,73.569,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 38.6",Y,TemperateConifer,W,T,E,Wild,Ad,-1.84339,,,88.743,,,542.94828,1.2975,2.39239,-1.34388,11.57078,0.59777,72.014,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 35.3",Y,TemperateConifer,W,T,E,Wild,Ad,-1.70471,,,90.148,,,562.27464,1.18334,2.13887,-1.16417,11.34167,0.70267,66.864,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 27",Y,TemperateConifer,W,T,E,Wild,Ad,-1.85963,,,89.13,,,513.54133,1.26689,2.11767,-1.20937,10.57115,0.70533,63.113,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 25.3",Y,TemperateConifer,W,T,E,Wild,Ad,-1.9798,,,89.538,,,611.96105,1.24625,2.23824,-1.54508,14.59143,0.54215,77.15,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 18.3",Y,TemperateConifer,W,T,E,Wild,Ad,-1.51322,,,91.203,,,503.69849,1.38619,2.25445,-1.14755,12.81373,0.65002,74.864,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 15.2",Y,TemperateConifer,W,T,E,Wild,Ad,-1.33961,,,91.562,,,510.24349,1.21889,2.17487,-0.90559,9.93085,0.74717,66.628,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 10.8",Y,TemperateConifer,W,T,E,Wild,Ad,-1.33563,,,92.104,,,495.68293,1.12486,1.83271,-0.93914,11.28484,0.74274,69.309,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,June,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 86.8",Y,TemperateConifer,W,T,E,Wild,Ad,-2.55704,,,82.173,,,541.33513,1.25125,2.62649,-1.95624,10.79645,0.26312,75.807,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,July,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 86.6",Y,TemperateConifer,W,T,E,Wild,Ad,-2.5696,,,82.039,,,542.37425,1.24722,2.62905,-2.0274,11.13474,0.16974,78.367,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,July,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 84.8",Y,TemperateConifer,W,T,E,Wild,Ad,-1.96167,,,87.009,,,549.38919,1.31805,2.66311,-1.46568,11.07634,0.51196,73.381,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,July,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 83.6",Y,TemperateConifer,W,T,E,Wild,Ad,-2.61578,,,82.47,,,583.07168,0.91274,1.98023,-1.85522,10.27504,0.42083,69.732,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,July,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 81.6",Y,TemperateConifer,W,T,E,Wild,Ad,-2.4269,,,83.304,,,578.73142,1.08525,2.40017,-1.87338,11.04667,0.28972,76.493,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,July,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 79.5",Y,TemperateConifer,W,T,E,Wild,Ad,-2.04685,,,87.815,,,546.23289,1.23551,2.23282,-1.4993,11.98139,0.56173,72.198,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,July,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 76.9",Y,TemperateConifer,W,T,E,Wild,Ad,-1.56915,,,92.541,,,607.3555,1.14038,1.83045,-1.09743,13.79868,0.7565,69.366,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,July,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 71.6",Y,TemperateConifer,W,T,E,Wild,Ad,-1.92318,,,88.087,,,534.44925,0.97247,1.78956,-1.3021,10.47765,0.65118,65.849,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,July,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 69.2",Y,TemperateConifer,W,T,E,Wild,Ad,-1.60309,,,90.036,,,526.75861,1.33499,2.4278,-1.1129,10.79995,0.68713,68.152,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,July,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 68.2",Y,TemperateConifer,W,T,E,Wild,Ad,-1.58502,,,91.198,,,558.72217,1.23151,2.12162,-1.08893,11.78011,0.73148,67.22,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,July,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 64.3",Y,TemperateConifer,W,T,E,Wild,Ad,-1.77208,,,88.249,,,510.75059,1.32752,2.49847,-1.25474,10.40246,0.60716,70.087,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,July,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 61",Y,TemperateConifer,W,T,E,Wild,Ad,-1.63858,,,91.508,,,514.66973,1.54772,2.29443,-1.21724,13.93841,0.6802,73.447,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,July,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 58",Y,TemperateConifer,W,T,E,Wild,Ad,-1.80367,,,88.654,,,576.10312,1.217,2.44917,-1.27284,10.93652,0.63463,68.947,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,July,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 55.1",Y,TemperateConifer,W,T,E,Wild,Ad,-1.82906,,,89.392,,,569.84992,1.31002,2.40551,-1.38389,12.73869,0.57402,75.098,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,July,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 51.9",Y,TemperateConifer,W,T,E,Wild,Ad,-1.60065,,,87.501,,,538.28979,1.16328,2.71921,-0.95789,7.04836,0.70689,57.357,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,July,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
